GEOID,NAME,variable,estimate,moe,Zip Code
72139,ZCTA5 72139,B07004H_006,0,11,72139
72140,ZCTA5 72140,B07004H_006,0,11,72140
72141,ZCTA5 72141,B07004H_006,0,11,72141
72142,ZCTA5 72142,B07004H_006,0,11,72142
72143,ZCTA5 72143,B07004H_006,80,63,72143
72149,ZCTA5 72149,B07004H_006,0,11,72149
72150,ZCTA5 72150,B07004H_006,0,18,72150
72152,ZCTA5 72152,B07004H_006,0,11,72152
72153,ZCTA5 72153,B07004H_006,0,11,72153
72156,ZCTA5 72156,B07004H_006,0,11,72156
72157,ZCTA5 72157,B07004H_006,0,11,72157
72160,ZCTA5 72160,B07004H_006,0,16,72160
72165,ZCTA5 72165,B07004H_006,0,11,72165
72166,ZCTA5 72166,B07004H_006,0,11,72166
72167,ZCTA5 72167,B07004H_006,0,11,72167
72168,ZCTA5 72168,B07004H_006,0,11,72168
72169,ZCTA5 72169,B07004H_006,2,3,72169
72170,ZCTA5 72170,B07004H_006,0,11,72170
72173,ZCTA5 72173,B07004H_006,24,34,72173
72175,ZCTA5 72175,B07004H_006,0,11,72175
72176,ZCTA5 72176,B07004H_006,0,18,72176
72179,ZCTA5 72179,B07004H_006,0,11,72179
72181,ZCTA5 72181,B07004H_006,0,11,72181
72201,ZCTA5 72201,B07004H_006,6,11,72201
72202,ZCTA5 72202,B07004H_006,35,40,72202
72204,ZCTA5 72204,B07004H_006,0,24,72204
72205,ZCTA5 72205,B07004H_006,92,126,72205
72206,ZCTA5 72206,B07004H_006,13,14,72206
72207,ZCTA5 72207,B07004H_006,0,18,72207
72209,ZCTA5 72209,B07004H_006,50,74,72209
72210,ZCTA5 72210,B07004H_006,11,17,72210
72211,ZCTA5 72211,B07004H_006,122,171,72211
72212,ZCTA5 72212,B07004H_006,0,18,72212
72223,ZCTA5 72223,B07004H_006,31,37,72223
72227,ZCTA5 72227,B07004H_006,209,306,72227
72301,ZCTA5 72301,B07004H_006,42,54,72301
72311,ZCTA5 72311,B07004H_006,0,11,72311
72315,ZCTA5 72315,B07004H_006,8,11,72315
72320,ZCTA5 72320,B07004H_006,0,11,72320
72321,ZCTA5 72321,B07004H_006,12,18,72321
72322,ZCTA5 72322,B07004H_006,0,11,72322
72324,ZCTA5 72324,B07004H_006,4,8,72324
72325,ZCTA5 72325,B07004H_006,0,11,72325
72326,ZCTA5 72326,B07004H_006,0,11,72326
72327,ZCTA5 72327,B07004H_006,0,11,72327
72328,ZCTA5 72328,B07004H_006,0,11,72328
72329,ZCTA5 72329,B07004H_006,0,11,72329
72330,ZCTA5 72330,B07004H_006,0,11,72330
72331,ZCTA5 72331,B07004H_006,0,11,72331
72332,ZCTA5 72332,B07004H_006,0,11,72332
72333,ZCTA5 72333,B07004H_006,0,11,72333
72335,ZCTA5 72335,B07004H_006,14,25,72335
72338,ZCTA5 72338,B07004H_006,0,11,72338
72339,ZCTA5 72339,B07004H_006,0,11,72339
72340,ZCTA5 72340,B07004H_006,0,11,72340
72341,ZCTA5 72341,B07004H_006,0,11,72341
72342,ZCTA5 72342,B07004H_006,0,16,72342
72346,ZCTA5 72346,B07004H_006,0,11,72346
72347,ZCTA5 72347,B07004H_006,0,11,72347
72348,ZCTA5 72348,B07004H_006,0,11,72348
72350,ZCTA5 72350,B07004H_006,0,11,72350
72351,ZCTA5 72351,B07004H_006,0,11,72351
72353,ZCTA5 72353,B07004H_006,0,11,72353
72354,ZCTA5 72354,B07004H_006,6,8,72354
72355,ZCTA5 72355,B07004H_006,0,11,72355
72358,ZCTA5 72358,B07004H_006,0,11,72358
72359,ZCTA5 72359,B07004H_006,0,11,72359
72360,ZCTA5 72360,B07004H_006,0,16,72360
72364,ZCTA5 72364,B07004H_006,32,52,72364
72365,ZCTA5 72365,B07004H_006,6,9,72365
72366,ZCTA5 72366,B07004H_006,0,11,72366
72367,ZCTA5 72367,B07004H_006,0,11,72367
72368,ZCTA5 72368,B07004H_006,0,11,72368
72370,ZCTA5 72370,B07004H_006,13,21,72370
72372,ZCTA5 72372,B07004H_006,0,11,72372
72373,ZCTA5 72373,B07004H_006,0,11,72373
72374,ZCTA5 72374,B07004H_006,0,11,72374
72376,ZCTA5 72376,B07004H_006,0,11,72376
72377,ZCTA5 72377,B07004H_006,0,11,72377
72379,ZCTA5 72379,B07004H_006,0,11,72379
72383,ZCTA5 72383,B07004H_006,0,11,72383
72384,ZCTA5 72384,B07004H_006,0,11,72384
72386,ZCTA5 72386,B07004H_006,0,11,72386
72389,ZCTA5 72389,B07004H_006,0,11,72389
72390,ZCTA5 72390,B07004H_006,0,16,72390
72392,ZCTA5 72392,B07004H_006,0,11,72392
72394,ZCTA5 72394,B07004H_006,0,11,72394
72395,ZCTA5 72395,B07004H_006,0,11,72395
72396,ZCTA5 72396,B07004H_006,0,18,72396
72401,ZCTA5 72401,B07004H_006,97,81,72401
72404,ZCTA5 72404,B07004H_006,129,96,72404
72410,ZCTA5 72410,B07004H_006,0,11,72410
72411,ZCTA5 72411,B07004H_006,0,11,72411
72412,ZCTA5 72412,B07004H_006,0,11,72412
72413,ZCTA5 72413,B07004H_006,0,11,72413
72414,ZCTA5 72414,B07004H_006,1,2,72414
72415,ZCTA5 72415,B07004H_006,0,11,72415
72416,ZCTA5 72416,B07004H_006,0,16,72416
72417,ZCTA5 72417,B07004H_006,0,11,72417
72419,ZCTA5 72419,B07004H_006,2,4,72419
72421,ZCTA5 72421,B07004H_006,0,11,72421
72422,ZCTA5 72422,B07004H_006,0,11,72422
72424,ZCTA5 72424,B07004H_006,0,11,72424
72425,ZCTA5 72425,B07004H_006,0,11,72425
72426,ZCTA5 72426,B07004H_006,0,11,72426
72427,ZCTA5 72427,B07004H_006,0,11,72427
72428,ZCTA5 72428,B07004H_006,0,11,72428
72429,ZCTA5 72429,B07004H_006,0,11,72429
72430,ZCTA5 72430,B07004H_006,0,11,72430
72431,ZCTA5 72431,B07004H_006,0,11,72431
72432,ZCTA5 72432,B07004H_006,35,56,72432
72433,ZCTA5 72433,B07004H_006,7,8,72433
72434,ZCTA5 72434,B07004H_006,0,11,72434
72435,ZCTA5 72435,B07004H_006,0,11,72435
72436,ZCTA5 72436,B07004H_006,1,2,72436
72437,ZCTA5 72437,B07004H_006,0,11,72437
72438,ZCTA5 72438,B07004H_006,0,11,72438
72440,ZCTA5 72440,B07004H_006,0,11,72440
72441,ZCTA5 72441,B07004H_006,0,11,72441
72442,ZCTA5 72442,B07004H_006,0,11,72442
72443,ZCTA5 72443,B07004H_006,0,11,72443
